,File.accession,File.format,Output.type,Experiment.accession,Assay,Biosample.term.id,Biosample.term.name,Biosample.type,Biosample.organism,Biosample.treatments,Biosample.treatments.amount,Biosample.treatments.duration,Experiment.target,Library.made.from,Library.depleted.in,Library.extraction.method,Library.lysis.method,Library.crosslinking.method,Library.strand.specific,Experiment.date.released,Project,RBNS.protein.concentration,Library.fragmentation.method,Library.size.range,Biological.replicate.s.,Technical.replicate,Read.length,Mapped.read.length,Run.type,Paired.end,Paired.with,Derived.from,Size,Lab,md5sum,dbxrefs,File.download.URL,Assembly,Platform,Controlled.by,File.Status,Audit.WARNING,Audit.INTERNAL_ACTION,Audit.NOT_COMPLIANT,Audit.ERROR
3301,ENCFF949EIN,bed bedMethyl,methylation state at CHG,ENCSR481JIW,whole-genome shotgun bisulfite sequencing,EFO:0001086,A549,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,2,NA,NA,NA,,,,"ENCFF161MAN, ENCFF885KWQ",2709855805,ENCODE Processing Pipeline,bfecca5cb213c6b38449bffc98d02f3d,,https://www.encodeproject.org/files/ENCFF949EIN/@@download/ENCFF949EIN.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
3302,ENCFF785LYM,bed bedMethyl,methylation state at CHG,ENCSR481JIW,whole-genome shotgun bisulfite sequencing,EFO:0001086,A549,cell line,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF304DGQ",2713915884,ENCODE Processing Pipeline,954539a93fdee8cab3de6c54b00a9648,,https://www.encodeproject.org/files/ENCFF785LYM/@@download/ENCFF785LYM.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
139,ENCFF152EGF,bed bedMethyl,methylation state at CHG,ENCSR608JPV,whole-genome shotgun bisulfite sequencing,UBERON:0001013,adipose tissue,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF501PAS, ENCFF502RJT",2627689282,ENCODE Processing Pipeline,ccf61052b0a2f7df70d4fc4313bfe8be,,https://www.encodeproject.org/files/ENCFF152EGF/@@download/ENCFF152EGF.bed.gz,GRCh38,,NA,released,,,,
632,ENCFF532BRS,bed bedMethyl,methylation state at CHG,ENCSR539UBP,whole-genome shotgun bisulfite sequencing,UBERON:0001013,adipose tissue,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF272PBZ, ENCFF490FOO, ENCFF974OSM",2832764161,ENCODE Processing Pipeline,5440833d973a8e972b637dbc6d169be8,,https://www.encodeproject.org/files/ENCFF532BRS/@@download/ENCFF532BRS.bed.gz,GRCh38,,NA,released,,,,
181,ENCFF485BWP,bed bedMethyl,methylation state at CHG,ENCSR681FHD,whole-genome shotgun bisulfite sequencing,UBERON:0002369,adrenal gland,tissue,Homo sapiens,,,,NA,DNA,NA,see document,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF161MAN, ENCFF285ZGH",2514764885,ENCODE Processing Pipeline,1e0dedabfdd2ee47895d67f629e60142,,https://www.encodeproject.org/files/ENCFF485BWP/@@download/ENCFF485BWP.bed.gz,GRCh38,,NA,released,,,,
387,ENCFF282HNG,bed bedMethyl,methylation state at CHG,ENCSR675POY,whole-genome shotgun bisulfite sequencing,UBERON:0002369,adrenal gland,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF675PWE, ENCFF703MUJ",2659080619,ENCODE Processing Pipeline,d900550c745243d93f8fec56279054c9,,https://www.encodeproject.org/files/ENCFF282HNG/@@download/ENCFF282HNG.bed.gz,GRCh38,,NA,released,,,,
2178,ENCFF018AWT,bed bedMethyl,methylation state at CHG,ENCSR022QUM,whole-genome shotgun bisulfite sequencing,UBERON:0002369,adrenal gland,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF538VBI, ENCFF576YUB, ENCFF931UCU",2800662106,ENCODE Processing Pipeline,d9f8339279c463f33313b7a98c6ae953,,https://www.encodeproject.org/files/ENCFF018AWT/@@download/ENCFF018AWT.bed.gz,GRCh38,,NA,released,,,,
2610,ENCFF116KYV,bed bedMethyl,methylation state at CHG,ENCSR741FVM,whole-genome shotgun bisulfite sequencing,UBERON:0002369,adrenal gland,tissue,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF026EHN, ENCFF161MAN",2659905712,ENCODE Processing Pipeline,ca225a1a2944ec9cd2b8e1155e2cfd06,,https://www.encodeproject.org/files/ENCFF116KYV/@@download/ENCFF116KYV.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
2721,ENCFF427PVN,bed bedMethyl,methylation state at CHG,ENCSR042LOG,whole-genome shotgun bisulfite sequencing,UBERON:0002369,adrenal gland,tissue,Homo sapiens,,,,NA,DNA,NA,,,NA,FALSE,12/4/17,ENCODE,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF017VCY, ENCFF161MAN",2679855907,ENCODE Processing Pipeline,82f229386a3b5a56eeda83cf28de8c6f,,https://www.encodeproject.org/files/ENCFF427PVN/@@download/ENCFF427PVN.bed.gz,GRCh38,,NA,released,,experiment not submitted to GEO,,
1151,ENCFF017JID,bed bedMethyl,methylation state at CHG,ENCSR893BUA,whole-genome shotgun bisulfite sequencing,UBERON:0000947,aorta,tissue,Homo sapiens,,,,NA,DNA,NA,QIAGEN DNeasy Blood & Tissue Kit,,NA,FALSE,7/31/13,Roadmap,NA,NA,NA,1,NA,NA,NA,,,,"ENCFF246HVP, ENCFF375RJP, ENCFF888GNX",2625925979,ENCODE Processing Pipeline,c7c686baaa43deaf3d847f52db4c4cbf,,https://www.encodeproject.org/files/ENCFF017JID/@@download/ENCFF017JID.bed.gz,GRCh38,,NA,released,,,,
