File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Platform,Controlled by,File Status,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF257GGV,bed bedMethyl,methylation state at CpG,ENCSR000AJI,whole-genome shotgun bisulfite sequencing,EFO:0002784,GM12878,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,7/31/14,ENCODE,,,,1,,,,,,,ENCFF001ZIA,590181235,ENCODE Consortium,0b81c913babd97fee46f52144c48274f,,https://www.encodeproject.org/files/ENCFF257GGV/@@download/ENCFF257GGV.bed.gz,hg19,,,archived,,,insufficient read length,
ENCFF001TKS,bed bedMethyl,methylation state at CpG,ENCSR000DEG,RRBS,UBERON:0001134,skeletal muscle tissue,tissue,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000LWH,16939331,"Richard Myers, HAIB",09818a32fc9ad1c43f39d1209c30ec16,,https://www.encodeproject.org/files/ENCFF001TKS/@@download/ENCFF001TKS.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TKT,bed bedMethyl,methylation state at CpG,ENCSR000DEG,RRBS,UBERON:0001134,skeletal muscle tissue,tissue,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000LWK,20790291,"Richard Myers, HAIB",3f7982583d2a50b0809fabf605563438,,https://www.encodeproject.org/files/ENCFF001TKT/@@download/ENCFF001TKT.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TOC,bed bedMethyl,methylation state at CpG,ENCSR000DDJ,RRBS,CL:0000056,myoblast,primary cell,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,1,1,,,,,,ENCFF000MFI,15193434,"Richard Myers, HAIB",32104a34b203d6a8a732acc8a39c6ca4,,https://www.encodeproject.org/files/ENCFF001TOC/@@download/ENCFF001TOC.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TOD,bed bedMethyl,methylation state at CpG,ENCSR000DDJ,RRBS,CL:0000056,myoblast,primary cell,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,2,1,,,,,,ENCFF000MFM,15426065,"Richard Myers, HAIB",01217dcb1512e5d6e3cf01ff3c5e3b6f,,https://www.encodeproject.org/files/ENCFF001TOD/@@download/ENCFF001TOD.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TOE,bed bedMethyl,methylation state at CpG,ENCSR000DDJ,RRBS,CL:0000056,myoblast,primary cell,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,9/30/11,ENCODE,,,,3,1,,,,,,ENCFF000MFK,15592263,"Richard Myers, HAIB",b3e2014e5cdc20217c11cd381d72d440,,https://www.encodeproject.org/files/ENCFF001TOE/@@download/ENCFF001TOE.bed.gz,hg19,,,released,,biological replicates with identical biosample,,
ENCFF001TJO,bed bedMethyl,methylation state at CpG,ENCSR000DGL,RRBS,NTR:0000480,AG09319,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,12/15/10,ENCODE,,,,1,1,,,,,,ENCFF000LTW,12438075,"Richard Myers, HAIB",1a3037a6501f7206b4a836d83db3ae7e,,https://www.encodeproject.org/files/ENCFF001TJO/@@download/ENCFF001TJO.bed.gz,hg19,,,released,,"biological replicates with identical biosample, NTR biosample",,
ENCFF001TJP,bed bedMethyl,methylation state at CpG,ENCSR000DGL,RRBS,NTR:0000480,AG09319,cell line,Homo sapiens,,,,,DNA,,see document,see document,,FALSE,12/15/10,ENCODE,,,,2,1,,,,,,ENCFF000LUD,14005306,"Richard Myers, HAIB",937ab4de74bbae12493f1c0a7b78ef1e,,https://www.encodeproject.org/files/ENCFF001TJP/@@download/ENCFF001TJP.bed.gz,hg19,,,released,,"biological replicates with identical biosample, NTR biosample",,
ENCFF060VXB,bed bedMethyl,methylation state at CHG,ENCSR430SAY,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,1,,,,,,,"ENCFF476ZJG, ENCFF914RHS, ENCFF994BKV",2403413966,ENCODE Processing Pipeline,ebfa2bf0fdce6e9f58d08bdfab9e1a76,,https://www.encodeproject.org/files/ENCFF060VXB/@@download/ENCFF060VXB.bed.gz,mm10,,,released,,,,
ENCFF533JUK,bed bedMethyl,methylation state at CHG,ENCSR430SAY,whole-genome shotgun bisulfite sequencing,UBERON:0001890,forebrain,tissue,Mus musculus,,,,,DNA,,Qiagen DNeasy Blood and Tissue Kit,Qaigen Kit DnEasy Blood and Tissue 69504,,FALSE,12/17/14,ENCODE,,,,2,,,,,,,"ENCFF126XQG, ENCFF476ZJG, ENCFF890CZY",2404182067,ENCODE Processing Pipeline,85be1f0b928ef2167621f0ddcd178978,,https://www.encodeproject.org/files/ENCFF533JUK/@@download/ENCFF533JUK.bed.gz,mm10,,,released,,,,
